"",".Dorms&GreeksMainList","School.Lookup.Table",".Town",".School.Lat",".School.Long",".Early.Voting.Name",".Early.Voting.Address",".EV.Lat",".EV.Long",".Miles.to.EV",".Walk.to.EV",".Dorm.Type.Spcfc",".is.greek",".Dorm.Name",".Dorm.Address",".Dorm.Lat",".Dorm.Long",".Mlbx.Name",".Mlbx.Address",".Ward",".PP.Name",".Polling.Place",".PP.Lat",".PP.Long"
"87","UWEauClaire - Aspenson Mogensen Hall","UW-Eau Claire","Eau Claire","44.7957° N","91.5038° W","Eau Claire City Clerk","203 S Farwell St.
Eau Claire, WI 54701",NA,NA,1,20,"Campus",NA,"Aspenson Mogensen Hall","222 Water St.
Eau Claire, WI 54703",44.802301,-91.5049131999999,NA,NA,52,"American Legion","634 Water St.
Eau Claire, WI 54703",44.8024223,-91.5133360999999
"88","UWEauClaire - Bridgman Hall","UW-Eau Claire","Eau Claire","44.7957° N","91.5038° W","Eau Claire City Clerk","203 S Farwell St.
Eau Claire, WI 54701",NA,NA,1,20,"Campus",NA,"Bridgman Hall","610 Hilltop Cir
Eau Claire, WI 54701",44.7981709,-91.5084201999999,NA,NA,20,"UW-Eau Claire Davies Center","77 Roosevelt Ave
Eau Claire, WI 54701",44.7973483,-91.5014253
"89","UWEauClaire - Chancellors Hall","UW-Eau Claire","Eau Claire","44.7957° N","91.5038° W","Eau Claire City Clerk","203 S Farwell St.
Eau Claire, WI 54701",NA,NA,1,20,"Campus",NA,"Chancellors Hall","820 University Dr.
Eau Claire, WI 54701",44.7976809,-91.5106976,NA,NA,20,"UW-Eau Claire Davies Center","77 Roosevelt Ave
Eau Claire, WI 54701",44.7973483,-91.5014253
"90","UWEauClaire - Governors Hall","UW-Eau Claire","Eau Claire","44.7957° N","91.5038° W","Eau Claire City Clerk","203 S Farwell St.
Eau Claire, WI 54701",NA,NA,1,20,"Campus",NA,"Governors Hall","640 Hilltop Cir
Eau Claire, WI 54701",44.7989264,-91.5066052,NA,NA,20,"UW-Eau Claire Davies Center","77 Roosevelt Ave
Eau Claire, WI 54701",44.7973483,-91.5014253
"91","UWEauClaire - Haymarket Landing","UW-Eau Claire","Eau Claire","44.7957° N","91.5038° W","Eau Claire City Clerk","203 S Farwell St.
Eau Claire, WI 54701",NA,NA,1,20,"Campus",NA,"Haymarket Landing","220 Eau Claire St.
Eau Claire, WI 54701",44.8127115,-91.5012740999999,NA,NA,50,"Spirit Lutheran Church","1310 Main St.
Eau Claire, WI 54701",44.8128375999999,-91.4831684999999
"92","UWEauClaire - Horan Hall","UW-Eau Claire","Eau Claire","44.7957° N","91.5038° W","Eau Claire City Clerk","203 S Farwell St.
Eau Claire, WI 54701",NA,NA,1,20,"Campus",NA,"Horan Hall","651 Hilltop Cir
Eau Claire, WI 54701",44.7984231999999,-91.5059246,NA,NA,20,"UW-Eau Claire Davies Center","77 Roosevelt Ave
Eau Claire, WI 54701",44.7973483,-91.5014253
"93","UWEauClaire - Karlgaard Towers","UW-Eau Claire","Eau Claire","44.7957° N","91.5038° W","Eau Claire City Clerk","203 S Farwell St.
Eau Claire, WI 54701",NA,NA,1,20,"Campus",NA,"Karlgaard Towers","642 University Dr.
Eau Claire, WI 54701",44.7968529,-91.5064826999999,NA,NA,20,"UW-Eau Claire Davies Center","77 Roosevelt Ave
Eau Claire, WI 54701",44.7973483,-91.5014253
"94","UWEauClaire - Murray Hall","UW-Eau Claire","Eau Claire","44.7957° N","91.5038° W","Eau Claire City Clerk","203 S Farwell St.
Eau Claire, WI 54701",NA,NA,1,20,"Campus",NA,"Murray Hall","11 Garfield Ave
Eau Claire, WI 54701",44.7971203,-91.5048659,NA,NA,20,"UW-Eau Claire Davies Center","77 Roosevelt Ave
Eau Claire, WI 54701",44.7973483,-91.5014253
"95","UWEauClaire - Oak Ridge Hall","UW-Eau Claire","Eau Claire","44.7957° N","91.5038° W","Eau Claire City Clerk","203 S Farwell St.
Eau Claire, WI 54701",NA,NA,1,20,"Campus",NA,"Oak Ridge Hall","810 University Dr.
Eau Claire, WI 54701",44.7980397,-91.5092147,NA,NA,20,"UW-Eau Claire Davies Center","77 Roosevelt Ave
Eau Claire, WI 54701",44.7973483,-91.5014253
"96","UWEauClaire - Priory Hall","UW-Eau Claire","Eau Claire","44.7957° N","91.5038° W","Eau Claire City Clerk","203 S Farwell St.
Eau Claire, WI 54701",NA,NA,1,20,"Campus",NA,"Priory Hall","1190 Priory Rd.
Eau Claire, WI 54701",44.7651636,-91.5112561999999,NA,NA,3,"Washington Municipal Complex","5750 Old Town Hall Rd.
Eau Claire, WI 54701",44.7629332,-91.4224067
"97","UWEauClaire - Sutherland Hall","UW-Eau Claire","Eau Claire","44.7957° N","91.5038° W","Eau Claire City Clerk","203 S Farwell St.
Eau Claire, WI 54701",NA,NA,1,20,"Campus",NA,"Sutherland Hall","620 Hilltop Cir
Eau Claire, WI 54701",44.7985377,-91.5083444999999,NA,NA,20,"UW-Eau Claire Davies Center","77 Roosevelt Ave
Eau Claire, WI 54701",44.7973483,-91.5014253
"98","UWEauClaire - The Suites","UW-Eau Claire","Eau Claire","44.7957° N","91.5038° W","Eau Claire City Clerk","203 S Farwell St.
Eau Claire, WI 54701",NA,NA,1,20,"Campus",NA,"The Suites","660 Hilltop Cir
Eau Claire, WI 54701",44.7980124,-91.5065674,NA,NA,20,"UW-Eau Claire Davies Center","77 Roosevelt Ave
Eau Claire, WI 54701",44.7973483,-91.5014253
"99","UWGreenBay","UW-Green Bay","Green Bay","44.5314° N","87.9210° W","Green Bay Clerk's Office","100 North Jefferson Street        
Green Bay, WI 54301",NA,NA,4.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100","UWGreenBay - Arlene Walter Hall","UW-Green Bay","Green Bay","44.5314° N","87.9210° W","Green Bay Clerk's Office","100 North Jefferson Street        
Green Bay, WI 54301",NA,NA,4.6,NA,"Campus",NA,"Arlene Walter Hall","3344 Lenfestey Ct. 
Green Bay, WI 54311",44.5335596,-87.9157452,NA,NA,3,"UW-Green Bay Student Services","2420 Nicolet Dr.
Green Bay, WI 54311",44.532204,-87.9217003
"101","UWGreenBay - Bob Schaefer Hall","UW-Green Bay","Green Bay","44.5314° N","87.9210° W","Green Bay Clerk's Office","100 North Jefferson Street        
Green Bay, WI 54301",NA,NA,4.6,NA,"Campus",NA,"Bob Schaefer Hall","3364 Schaefer Ct. 
Green Bay, WI 54311",44.5336607,-87.9130145,NA,NA,3,"UW-Green Bay","2420 Nicolet Dr.
Green Bay, WI 54311",44.532204,-87.9217003
"102","UWGreenBay - Byron Walter Hall","UW-Green Bay","Green Bay","44.5314° N","87.9210° W","Green Bay Clerk's Office","100 North Jefferson Street        
Green Bay, WI 54301",NA,NA,4.6,NA,"Campus",NA,"Byron Walter Hall","3346 Lenfestey Ct.
Green Bay, WI 54311",44.5335596,-87.9157452,NA,NA,3,"UW-Green Bay Student Services","2420 Nicolet Dr.
Green Bay, WI 54311",44.532204,-87.9217003
"103","UWGreenBay - Cletus Vanderperren Hall","UW-Green Bay","Green Bay","44.5314° N","87.9210° W","Green Bay Clerk's Office","100 North Jefferson Street        
Green Bay, WI 54301",NA,NA,4.6,NA,"Campus",NA,"Cletus Vanderperren Hall","3354 Leon Bond Dr. 
Green Bay, WI 54311",44.5338419,-87.9139534999999,NA,NA,3,"UW-Green Bay Student Services","2420 Nicolet Dr.
Green Bay, WI 54311",44.532204,-87.9217003
"104","UWGreenBay - Donald Long Hall","UW-Green Bay","Green Bay","44.5314° N","87.9210° W","Green Bay Clerk's Office","100 North Jefferson Street        
Green Bay, WI 54301",NA,NA,4.6,NA,"Campus",NA,"Donald Long Hall","3342 Lenfestey Ct. 
Green Bay, WI 54311",44.5335596,-87.9157452,NA,NA,3,"UW-Green Bay Student Services","2420 Nicolet Dr.
Green Bay, WI 54311",44.532204,-87.9217003
"105","UWGreenBay - James Temp Hall","UW-Green Bay","Green Bay","44.5314° N","87.9210° W","Green Bay Clerk's Office","100 North Jefferson Street        
Green Bay, WI 54301",NA,NA,4.6,NA,"Campus",NA,"James Temp Hall","3366 Schaefer Ct. 
Green Bay, WI 54311",44.5336893,-87.9128755999999,NA,NA,3,"UW-Green Bay Student Services","2420 Nicolet Dr.
Green Bay, WI 54311",44.532204,-87.9217003
"106","UWGreenBay - Josephine Lenfestey Hall","UW-Green Bay","Green Bay","44.5314° N","87.9210° W","Green Bay Clerk's Office","100 North Jefferson Street        
Green Bay, WI 54301",NA,NA,4.6,NA,"Campus",NA,"Josephine Lenfestey Hall","3348 Lenfestey Ct. 
Green Bay, WI 54311",44.5335596,-87.9157452,NA,NA,3,"UW-Green Bay Student Services","2420 Nicolet Dr.
Green Bay, WI 54311",44.532204,-87.9217003
"107","UWGreenBay - R.E. Small Hall","UW-Green Bay","Green Bay","44.5314° N","87.9210° W","Green Bay Clerk's Office","100 North Jefferson Street        
Green Bay, WI 54301",NA,NA,4.6,NA,"Campus",NA,"R.E. Small Hall","3352 Leon Bond Dr. 
Green Bay, WI 54311",44.533487,-87.9147747999999,NA,NA,3,"UW-Green Bay Student Services","2420 Nicolet Dr.
Green Bay, WI 54311",44.532204,-87.9217003
"108","UWGreenBay - Robert Warren Hall","UW-Green Bay","Green Bay","44.5314° N","87.9210° W","Green Bay Clerk's Office","100 North Jefferson Street        
Green Bay, WI 54301",NA,NA,4.6,NA,"Campus",NA,"Robert Warren Hall","3356 Leon Bond Dr.
Green Bay, WI 54311",44.5341827,-87.9139053,NA,NA,3,"UW-Green Bay Student Services","2420 Nicolet Dr.
Green Bay, WI 54311",44.532204,-87.9217003
"109","UWGreenBay - Roy Downham Hall","UW-Green Bay","Green Bay","44.5314° N","87.9210° W","Green Bay Clerk's Office","100 North Jefferson Street        
Green Bay, WI 54301",NA,NA,4.6,NA,"Campus",NA,"Roy Downham Hall","3374 Downham Ct. 
Green Bay, WI 54311",44.5318772,-87.9125258999999,NA,NA,3,"UW-Green Bay Student Services","2420 Nicolet Dr.
Green Bay, WI 54311",44.532204,-87.9217003
"110","UWGreenBay - Ted Lenfestey Hall","UW-Green Bay","Green Bay","44.5314° N","87.9210° W","Green Bay Clerk's Office","100 North Jefferson Street        
Green Bay, WI 54301",NA,NA,4.6,NA,"Campus",NA,"Ted Lenfestey Hall","3342 Lenfestey Ct. 
Green Bay, WI 54311",44.5335596,-87.9157452,NA,NA,3,"UW-Green Bay Student Services","2420 Nicolet Dr.
Green Bay, WI 54311",44.532204,-87.9217003
"111","UWLaCrosse","UW-LaCrosse","LaCrosse","43.8174° N","91.2311° W","City Hall","400 La Crosse St.
La Crosse, WI 54601",NA,NA,0.5,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112","UWMadison","UW-Madison","Madison","43.0767° N","89.4124° W","Memorial Union Terrace","800 Langdon St.
Madison, WI 53703",NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113","UWMadison - Acacia","UW-Madison","Madison","43.0767° N","89.4124° W","Memorial Union Terrace","800 Langdon St.
Madison, WI 53703",NA,NA,0,0,"Frat",TRUE,"Acacia","201 W Lakelawn Pl
Madison, WI 53703",43.0764763,-89.3935154999999,NA,NA,47,"Bethel Lutheran Church","312 Wisconsin Ave
Madison, WI 53703",43.0768476,-89.3878826
"114","UWMadison - Adams","UW-Madison","Madison","43.0767° N","89.4124° W","Memorial Union Terrace","800 Langdon St.
Madison, WI 53703",NA,NA,0,0,"Campus",NA,"Adams","1520 Tripp Cir
Madison, Wi 53706",43.0778776999999,-89.4118056,NA,NA,60,"UW Memorial Union","800 Langdon St.
Madison, WI 53706",43.0762598,-89.4000038
"115","UWMadison - Alpha Chi Omega","UW-Madison","Madison","43.0767° N","89.4124° W","Memorial Union Terrace","800 Langdon St.
Madison, WI 53703",NA,NA,0,0,"Sor",TRUE,"Alpha Chi Omega","152 Langdon St.
Madison, WI 53703",43.0771712,-89.392276,NA,NA,47,"Bethel Lutheran Church","312 Wisconsin Ave
Madison, WI 53703",43.0768476,-89.3878826
"116","UWMadison - Alpha Delta Phi","UW-Madison","Madison","43.0767° N","89.4124° W","Memorial Union Terrace","800 Langdon St.
Madison, WI 53703",NA,NA,0,0,"Frat",TRUE,"Alpha Delta Phi","640 N Henry St. Apt A
Madison, WI 53703",43.0776154,-89.3938484999999,NA,NA,47,"Bethel Lutheran Church","312 Wisconsin Ave
Madison, WI 53703",43.0768476,-89.3878826
"117","UWMadison - Alpha Epsilon Phi","UW-Madison","Madison","43.0767° N","89.4124° W","Memorial Union Terrace","800 Langdon St.
Madison, WI 53703",NA,NA,0,0,"Sor",TRUE,"Alpha Epsilon Phi","220 E Lakelawn Pl
Madison, WI 53703",43.0770855,-89.3939963999999,NA,NA,47,"Bethel Lutheran Church","312 Wisconsin Ave
Madison, WI 53703",43.0768476,-89.3878826
"118","UWMadison - Alpha Gamma Rho","UW-Madison","Madison","43.0767° N","89.4124° W","Memorial Union Terrace","800 Langdon St.
Madison, WI 53703",NA,NA,0,0,"Frat",TRUE,"Alpha Gamma Rho","233 W Lakelawn Pl
Madison, WI 53703",43.0772781,-89.3945883999999,NA,NA,47,"Bethel Lutheran Church","312 Wisconsin Ave
Madison, WI 53703",43.0768476,-89.3878826
"119","UWMadison - Alpha Lambda Rho","UW-Madison","Madison","43.0767° N","89.4124° W","Memorial Union Terrace","800 Langdon St.
Madison, WI 53703",NA,NA,0,0,"Sor",TRUE,"Alpha Lambda Rho","416 W North St.
Whitewater, WI 53190",42.8354696,-88.7356794999999,NA,NA,29,"East High School","2222 E Washington Ave
Madison, WI 53704",43.0974734,-89.3550011
"120","UWMadison - Alpha Phi","UW-Madison","Madison","43.0767° N","89.4124° W","Memorial Union Terrace","800 Langdon St.
Madison, WI 53703",NA,NA,0,0,"Sor",TRUE,"Alpha Phi","28 Langdon St.
Madison, WI 53703",43.078301,-89.3908701,NA,NA,47,"Bethel Lutheran Church","312 Wisconsin Ave
Madison, WI 53703",43.0768476,-89.3878826
"121","UWMadison - Alpha Sigma Phi","UW-Madison","Madison","43.0767° N","89.4124° W","Memorial Union Terrace","800 Langdon St.
Madison, WI 53703",NA,NA,0,0,"Frat",TRUE,"Alpha Sigma Phi","142 Langdon St.
Madison, WI 53703",43.0776136,-89.392292,NA,NA,47,"Bethel Lutheran Church","312 Wisconsin Ave
Madison, WI 53703",43.0768476,-89.3878826
"122","UWMadison - Alpha Xi Delta","UW-Madison","Madison","43.0767° N","89.4124° W","Memorial Union Terrace","800 Langdon St.
Madison, WI 53703",NA,NA,0,0,"Sor",TRUE,"Alpha Xi Delta","615 Howard Pl
Madison, WI 53703",43.0765944,-89.3943293999999,NA,NA,48,"Uw-Madison Lowell Center","610 Langdon St.
Madison, WI 53703",43.0762566999999,-89.3957638
"123","UWMadison - Barnard","UW-Madison","Madison","43.0767° N","89.4124° W","Memorial Union Terrace","800 Langdon St.
Madison, WI 53703",NA,NA,0,0,"Campus",NA,"Barnard","970 University Ave 
Madison, Wi 53706",43.0736774,-89.4022475,NA,NA,60,"UW Memorial Union","800 Langdon St.
Madison, WI 53706",43.0762598,-89.4000038
"124","UWMadison - Beta Theta Pi","UW-Madison","Madison","43.0767° N","89.4124° W","Memorial Union Terrace","800 Langdon St.
Madison, WI 53703",NA,NA,0,0,"Frat",TRUE,"Beta Theta Pi","622 Mendota Ct
Madison, WI 53703",43.0767787,-89.3962716,NA,NA,48,"Uw-Madison Lowell Center","610 Langdon St.
Madison, WI 53703",43.0762566999999,-89.3957638
"125","UWMadison - Bradley","UW-Madison","Madison","43.0767° N","89.4124° W","Memorial Union Terrace","800 Langdon St.
Madison, WI 53703",NA,NA,0,0,"Campus",NA,"Bradley","650 Elm Dr. 
Madison, Wi 53706",43.0778904,-89.4164071,NA,NA,61,"Dejope Residence Hall","640 Elm Dr.
Madison, WI 53706",43.0777323,-89.4177599
"126","UWMadison - Chadbourne","UW-Madison","Madison","43.0767° N","89.4124° W","Memorial Union Terrace","800 Langdon St.
Madison, WI 53703",NA,NA,0,0,"Campus",NA,"Chadbourne","420 N. Park St.
Madison, Wi 53706",43.0737394,-89.4012205,NA,NA,60,"UW Memorial Union","800 Langdon St.
Madison, WI 53706",43.0762598,-89.4000038
"127","UWMadison - Chi Omega","UW-Madison","Madison","43.0767° N","89.4124° W","Memorial Union Terrace","800 Langdon St.
Madison, WI 53703",NA,NA,0,0,"Sor",TRUE,"Chi Omega","115 Langdon St.
Madison, WI 53703",43.0774678,-89.3910181,NA,NA,47,"Bethel Lutheran Church","312 Wisconsin Ave
Madison, WI 53703",43.0768476,-89.3878826
"128","UWMadison - Chi Psi","UW-Madison","Madison","43.0767° N","89.4124° W","Memorial Union Terrace","800 Langdon St.
Madison, WI 53703",NA,NA,0,0,"Frat",TRUE,"Chi Psi","150 Iota Ct.
Madison, WI 53703",43.077859,-89.393312,NA,NA,47,"Bethel Lutheran Church","312 Wisconsin Ave
Madison, WI 53703",43.0768476,-89.3878826
"129","UWMadison - Chi Sigma Tau","UW-Madison","Madison","43.0767° N","89.4124° W","Memorial Union Terrace","800 Langdon St.
Madison, WI 53703",NA,NA,0,0,"Frat",TRUE,"Chi Sigma Tau","515 University Ave
Madison, WI 53703",43.0728622,-89.3946670999999,NA,NA,49,"Hillel At The University Of Wisconsin","611 Langdon St.
Madison, WI 53703",43.0755226,-89.3959757
"130","UWMadison - Cole","UW-Madison","Madison","43.0767° N","89.4124° W","Memorial Union Terrace","800 Langdon St.
Madison, WI 53703",NA,NA,0,0,"Campus",NA,"Cole","625 Elm Dr.
Madison, Wi 53706",43.0773629,-89.4150068,NA,NA,61,"Dejope Residence Hall","640 Elm Dr.
Madison, WI 53706",43.0777323,-89.4177599
"131","UWMadison - Dejope","UW-Madison","Madison","43.0767° N","89.4124° W","Memorial Union Terrace","800 Langdon St.
Madison, WI 53703",NA,NA,0,0,"Campus",NA,"Dejope","640 Elm Dr. 
Madison, WI 53706",43.0777323,-89.4177599,NA,NA,61,"Dejope Residence Hall","640 Elm Dr.
Madison, WI 53706",43.0777323,-89.4177599
"132","UWMadison - Delta Chi","UW-Madison","Madison","43.0767° N","89.4124° W","Memorial Union Terrace","800 Langdon St.
Madison, WI 53703",NA,NA,0,0,"Frat",TRUE,"Delta Chi","200 Langdon St.
Madison, WI 53703",43.0768455,-89.3929635,NA,NA,47,"Bethel Lutheran Church","312 Wisconsin Ave
Madison, WI 53703",43.0768476,-89.3878826
"133","UWMadison - Delta Delta Delta","UW-Madison","Madison","43.0767° N","89.4124° W","Memorial Union Terrace","800 Langdon St.
Madison, WI 53703",NA,NA,0,0,"Sor",TRUE,"Delta Delta Delta","120 Langdon St.
Madison, WI 53703",43.0777738,-89.3915361,NA,NA,47,"Bethel Lutheran Church","312 Wisconsin Ave
Madison, WI 53703",43.0768476,-89.3878826
"134","UWMadison - Delta Gamma","UW-Madison","Madison","43.0767° N","89.4124° W","Memorial Union Terrace","800 Langdon St.
Madison, WI 53703",NA,NA,0,0,"Sor",TRUE,"Delta Gamma","103 Langdon St.
Madison, WI 53703",43.0776182,-89.3907961,NA,NA,47,"Bethel Lutheran Church","312 Wisconsin Ave
Madison, WI 53703",43.0768476,-89.3878826
"135","UWMadison - Delta Tau Delta","UW-Madison","Madison","43.0767° N","89.4124° W","Memorial Union Terrace","800 Langdon St.
Madison, WI 53703",NA,NA,0,0,"Frat",TRUE,"Delta Tau Delta","12 Langdon St.
Madison, 53706",43.0789628,-89.3905556,NA,NA,47,"Bethel Lutheran Church","312 Wisconsin Ave
Madison, WI 53703",43.0768476,-89.3878826
"136","UWMadison - Delta Theta Sigma","UW-Madison","Madison","43.0767° N","89.4124° W","Memorial Union Terrace","800 Langdon St.
Madison, WI 53703",NA,NA,0,0,"Frat",TRUE,"Delta Theta Sigma","252 Langdon St.
Madison, WI 53703",43.0760459,-89.3945699,NA,NA,48,"Uw-Madison Lowell Center","610 Langdon St.
Madison, WI 53703",43.0762566999999,-89.3957638
"137","UWMadison - Delta Upsilon","UW-Madison","Madison","43.0767° N","89.4124° W","Memorial Union Terrace","800 Langdon St.
Madison, WI 53703",NA,NA,0,0,"Frat",TRUE,"Delta Upsilon","644 N Frances St.
Madison, WI 53703",43.0771125,-89.3955318,NA,NA,48,"Uw-Madison Lowell Center","610 Langdon St.
Madison, WI 53703",43.0762566999999,-89.3957638
"138","UWMadison - Elizabeth Waters","UW-Madison","Madison","43.0767° N","89.4124° W","Memorial Union Terrace","800 Langdon St.
Madison, WI 53703",NA,NA,0,0,"Campus",NA,"Elizabeth Waters","1200 Observatory Dr.
Madison, WI 53706",43.0767872,-89.4069428999999,NA,NA,60,"UW Memorial Union","800 Langdon St.
Madison, WI 53706",43.0762598,-89.4000038
"139","UWMadison - Gamma Phi Beta","UW-Madison","Madison","43.0767° N","89.4124° W","Memorial Union Terrace","800 Langdon St.
Madison, WI 53703",NA,NA,0,0,"Sor",TRUE,"Gamma Phi Beta","270 Langdon St.
Madison, WI 53703",43.0760483,-89.3950138,NA,NA,48,"Uw-Madison Lowell Center","610 Langdon St.
Madison, WI 53703",43.0762566999999,-89.3957638
"140","UWMadison - Kappa Alpha Theta","UW-Madison","Madison","43.0767° N","89.4124° W","Memorial Union Terrace","800 Langdon St.
Madison, WI 53703",NA,NA,0,0,"Sor",TRUE,"Kappa Alpha Theta","108 Langdon St.
Madison, WI 53703",43.0783257999999,-89.3919616,NA,NA,47,"Bethel Lutheran Church","312 Wisconsin Ave
Madison, WI 53703",43.0768476,-89.3878826
"141","UWMadison - Kappa Kappa Gamma","UW-Madison","Madison","43.0767° N","89.4124° W","Memorial Union Terrace","800 Langdon St.
Madison, WI 53703",NA,NA,0,0,"Sor",TRUE,"Kappa Kappa Gamma","601 N Henry St.
Madison, WI 53703",43.0770969,-89.392572,NA,NA,47,"Bethel Lutheran Church","312 Wisconsin Ave
Madison, WI 53703",43.0768476,-89.3878826
"142","UWMadison - Kronshage","UW-Madison","Madison","43.0767° N","89.4124° W","Memorial Union Terrace","800 Langdon St.
Madison, WI 53703",NA,NA,0,0,"Campus",NA,"Kronshage","1650 Kronshage Dr.
Madison, WI 53706",43.0781293,-89.4143416,NA,NA,61,"Dejope Residence Hall","640 Elm Dr
Madison, WI 53706",43.0777323,-89.4177599
"143","UWMadison - Lambda Phi Epsilon","UW-Madison","Madison","43.0767° N","89.4124° W","Memorial Union Terrace","800 Langdon St.
Madison, WI 53703",NA,NA,0,0,"Frat",TRUE,"Lambda Phi Epsilon","132 N Breese Terrace
Madison, WI 53726",43.0708401,-89.4142472,NA,NA,1,"Cleveland Village Hall, Voting Room: Clerks Office","1150 W Washington Ave
Cleveland, WI 53015",43.9142808,-87.7510757
"144","UWMadison - Lambda Theta Alpha","UW-Madison","Madison","43.0767° N","89.4124° W","Memorial Union Terrace","800 Langdon St.
Madison, WI 53703",NA,NA,0,0,"Sor",TRUE,"Lambda Theta Alpha","430 W Johnson St.
Madison, WI 53703",43.0730039,-89.3928679999999,NA,NA,54,"Madison Senior Center","330 W Mifflin St.
Madison, WI 53703",43.0729628,-89.3892868
"145","UWMadison - Lambda Theta Phi","UW-Madison","Madison","43.0767° N","89.4124° W","Memorial Union Terrace","800 Langdon St.
Madison, WI 53703",NA,NA,0,0,"Frat",TRUE,"Lambda Theta Phi","777 University Ave, Apt. 437
Madison, WI 53703",43.0728984,-89.3981101,NA,NA,57,"Gordon Dining, Voting Room: Dining Center","770 W Dayton St.
Madison, WI 53715",43.0711735999999,-89.3980844
"146","UWMadison - Leopold","UW-Madison","Madison","43.0767° N","89.4124° W","Memorial Union Terrace","800 Langdon St.
Madison, WI 53703",NA,NA,0,0,"Campus",NA,"Leopold","1635 Kronshage Dr.
Madison, WI 53706",43.0775494,-89.4139883,NA,NA,61,"Dejope Residence Hall","640 Elm Dr.
Madison, WI 53706",43.0777323,-89.4177599
"147","UWMadison - Merit","UW-Madison","Madison","43.0767° N","89.4124° W","Memorial Union Terrace","800 Langdon St.
Madison, WI 53703",NA,NA,0,0,"Campus",NA,"Merit","917, 919 or 921 WeSt. Dayton St.
Madison, WI 53715",43.0708036,-89.4017289,NA,NA,58,"Smith Hall, Voting Room:","Laines Lounge 35 N Park St.
Madison, WI 53715",43.0689757,-89.4004166
"148","UWMadison - Ogg","UW-Madison","Madison","43.0767° N","89.4124° W","Memorial Union Terrace","800 Langdon St.
Madison, WI 53703",NA,NA,0,0,"Campus",NA,"Ogg","835 W. Dayton St.
Madison, WI 53706",43.0704831,-89.3999426,NA,NA,58,"Smith Hall, Voting Room:
Laines Lounge
35 N Park St
Madison, WI 53715","Laines Lounge 35 N Park St.
Madison, WI 53715",43.0689757,-89.4004166
"149","UWMadison - Phi Delta Theta","UW-Madison","Madison","43.0767° N","89.4124° W","Memorial Union Terrace","800 Langdon St.
Madison, WI 53703",NA,NA,0,0,"Frat",TRUE,"Phi Delta Theta","237 Langdon St.
Madison, WI 53703",43.0756798,-89.3934415,NA,NA,48,"Uw-Madison Lowell Center","610 Langdon St.
Madison, WI 53703",43.0762566999999,-89.3957638
"150","UWMadison - Phi Gamma Delta","UW-Madison","Madison","43.0767° N","89.4124° W","Memorial Union Terrace","800 Langdon St.
Madison, WI 53703",NA,NA,0,0,"Frat",TRUE,"Phi Gamma Delta","16 Langdon St.
Madison, WI 53703",43.0786785,-89.3905741,NA,NA,47,"Bethel Lutheran Church","312 Wisconsin Ave
Madison, WI 53703",43.0768476,-89.3878826
"151","UWMadison - Phi Kappa Theta","UW-Madison","Madison","43.0767° N","89.4124° W","Memorial Union Terrace","800 Langdon St.
Madison, WI 53703",NA,NA,0,0,"Frat",TRUE,"Phi Kappa Theta","15 S Charter St.
Madison, WI 53715",43.0672134,-89.405419,NA,NA,69,"Saint James Catholic School","1204 Saint James Ct.
Madison, WI 53715",43.0659946,-89.4058309
"152","UWMadison - Phillips","UW-Madison","Madison","43.0767° N","89.4124° W","Memorial Union Terrace","800 Langdon St.
Madison, WI 53703",NA,NA,0,0,"Campus",NA,"Phillips","1950 Willow Dr. 
Madison, WI 53706",43.0785106,-89.4179599,NA,NA,61,"Dejope Residence Hall","640 Elm Dr.
Madison, WI 53706",43.0777323,-89.4177599
"153","UWMadison - Pi Beta Phi","UW-Madison","Madison","43.0767° N","89.4124° W","Memorial Union Terrace","800 Langdon St.
Madison, WI 53703",NA,NA,0,0,"Sor",TRUE,"Pi Beta Phi","130 Langdon St.
Madison, WI 53703",43.0780825999999,-89.392572,NA,NA,47,"Bethel Lutheran Church","312 Wisconsin Ave
Madison, WI 53703",43.0768476,-89.3878826
"154","UWMadison - Pi Kappa Alpha","UW-Madison","Madison","43.0767° N","89.4124° W","Memorial Union Terrace","800 Langdon St.
Madison, WI 53703",NA,NA,0,0,"Frat",TRUE,"Pi Kappa Alpha","221 Langdon St.
Madison, WI 53703",43.0762262999999,-89.392831,NA,NA,48,"Uw-Madison Lowell Center","610 Langdon St.
Madison, WI 53703",43.0762566999999,-89.3957638
"155","UWMadison - Pi Kappa Phi","UW-Madison","Madison","43.0767° N","89.4124° W","Memorial Union Terrace","800 Langdon St.
Madison, WI 53703",NA,NA,0,0,"Frat",TRUE,"Pi Kappa Phi","248 Langdon St.
Madison, WI 53703",43.0759682,-89.3941998999999,NA,NA,48,"Uw-Madison Lowell Center","610 Langdon St.
Madison, WI 53703",43.0762566999999,-89.3957638
"156","UWMadison - Pi Lamba Phi","UW-Madison","Madison","43.0767° N","89.4124° W","Memorial Union Terrace","800 Langdon St.
Madison, WI 53703",NA,NA,0,0,"Frat",TRUE,"Pi Lamba Phi","132 N Breese Terrace
Madison, WI 53726",43.0708401,-89.4142471999999,NA,NA,63,"First Congregational Church","1609 University Ave
Madison, WI 53726",43.0731484999999,-89.4144333
